,wheat,corn,dairy,beef,chicken,rice,apple,potatoes,broccoli,carrots,target
0,5.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,none
1,4.0,4.0,2.0,5.0,4.0,3.0,4.0,5.0,4.0,2.0,none
2,5.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,none
3,1.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,none
4,4.0,5.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,none
5,3.0,3.0,5.0,5.0,4.0,5.0,4.0,1.0,1.0,4.0,none
6,4.0,1.0,4.0,4.0,5.0,1.0,1.0,3.0,3.0,2.0,none
7,5.0,1.0,1.0,4.0,4.0,5.0,1.0,2.0,4.0,4.0,none
8,5.0,4.0,1.0,5.0,1.0,5.0,3.0,2.0,1.0,4.0,wheat
9,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,none
10,4.0,2.0,2.0,4.0,5.0,5.0,4.0,1.0,4.0,3.0,none
11,1.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,none
12,4.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,2.0,none
13,5.0,3.0,3.0,4.0,5.0,1.0,3.0,5.0,1.0,4.0,none
14,5.0,5.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,4.0,none
15,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,4.0,none
16,3.0,3.0,3.0,4.0,1.0,2.0,2.0,4.0,4.0,3.0,none
17,4.0,3.0,4.0,1.0,4.0,3.0,4.0,2.0,4.0,4.0,none
18,4.0,4.0,5.0,5.0,3.0,1.0,4.0,5.0,2.0,4.0,none
19,1.0,4.0,4.0,1.0,4.0,1.0,1.0,2.0,5.0,5.0,none
20,2.0,4.0,1.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,none
21,4.0,1.0,3.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,none
22,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,none
23,4.0,1.0,1.0,4.0,3.0,5.0,4.0,1.0,2.0,2.0,none
24,4.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,none
25,4.0,3.0,2.0,3.0,5.0,4.0,4.0,2.0,4.0,3.0,potatoes
